x1i10hfl href	x1lliihq	x1b0d499 src	x6s0dn4	x6ikm8r	x193iq5w 2	x193iq5w 3	x193iq5w 4	x193iq5w 5	x193iq5w 6	x193iq5w 7	xl1xv1r src
https://www.facebook.com/content/insights/?content_id=UzpfSTYxNTUxNjc4MzA1ODMxOjEyMjIwMTg1NDU1NjA1NTk0MzoxMjIyMDE4NTQ1NTYwNTU5NDM%3D&entry_point=ProdashCometContentLibraryTable	"🌱 We're launching the Fataplus Product Design Bootcamp!

The first specialized bootcamp teaching product design for African agricultural technology - with Figma at its core.

🧵 Here's why this matters:

1/ Africa has massive potential in agricultural technology but lacks skilled designers who understand both farming contexts and modern design tools.

2/ Our 12-week intensive program bridges this gap by teaching:

Agricultural UX patterns
Mobile-first design for rural connectivity
Design systems for agri-tech
Figma mastery from basics to advanced prototyping

3/ What makes us different: ✅ Free for qualified students (pay-it-forward model) ✅ Real agricultural projects with actual farming data ✅ 70% job placement rate within 6 months ✅ Taught by agricultural technology experts

4/ We're looking for:

Agricultural professionals wanting to transition to design
Tech entrepreneurs building farming solutions
Students passionate about sustainable agriculture
Anyone eager to design solutions that farmers actually want to use

5/ Applications open now for our first cohort starting in October 2025.

Ready to design the future of African agriculture? Apply at:

https://learn.fata.plus

#haychallenge #DesignEducation #UXDesign #AgriculturalDesign #designcareer #Partnerships #AgriculturalTech #Hiring #Scholarships

We open all our documents for this project here : 

https://drive.google.com/drive/folders/1HlvSnKYd_9E-798Iw-AbqI5EI0CH9XKK?usp=sharing"	https://static.xx.fbcdn.net/rsrc.php/v4/yk/r/3mP4gIjvEEU.png	Publiée •	30 sept. 2025	108	39	5	0	50	0	
	Aucun contenu textuel	https://static.xx.fbcdn.net/rsrc.php/v4/yk/r/3mP4gIjvEEU.png	Publiée •	30 sept. 2025	--	--	--	--	--	--	
	Aucun contenu textuel	https://static.xx.fbcdn.net/rsrc.php/v4/yk/r/3mP4gIjvEEU.png	Publiée •	30 sept. 2025	0	0	3	0	0	0	
https://www.facebook.com/content/insights/?content_id=UzpfSTYxNTUxNjc4MzA1ODMxOjEyMjIwMDYyODQwMjA1NTk0MzoxMjIyMDA2Mjg0MDIwNTU5NDM%3D&entry_point=ProdashCometContentLibraryTable	Aucun contenu textuel	https://static.xx.fbcdn.net/rsrc.php/v4/yk/r/3mP4gIjvEEU.png	Publiée •	17 sept. 2025	102	38	13	0	48	0	
https://www.facebook.com/content/insights/?content_id=UzpfSTYxNTUxNjc4MzA1ODMxOjEyMjIwMDYyMjUyMjA1NTk0MzoxMjIyMDA2MjI1MjIwNTU5NDM%3D&entry_point=ProdashCometContentLibraryTable	"🌾 Qu'est-ce que le Fataplus MCP ?
Le Model Context Protocol (MCP) est un standard qui permet aux assistants IA d'accéder à des données et outils externes, et le Fataplus MCP est une implémentation spécialisée qui expose les services agricoles de la plateforme Fataplus (météo, gestion du bétail, prix des marchés, analytics de ferme) directement aux assistants comme Claude, permettant aux utilisateurs d'obtenir des informations agricoles en temps réel simplement en posant des questions naturelles comme ""Quelle est la météo à la région Anosy pour mes cultures ?"" après avoir configuré la connexion MCP dans leur client.

Explication détaillée :
MCP (Model Context Protocol) = Un protocole qui connecte les IA aux données du monde réel

Fataplus MCP = La version agricole qui donne accès aux outils Fataplus

Utilisation = Configuration dans Claude Desktop → Questions naturelles → Réponses avec données agricoles réelles

Exemple concret :

Vous demandez : ""Montre-moi les prix du maïs à Antanambe""
Claude utilise automatiquement le Fataplus MCP
Vous obtenez les prix actuels des marchés agricoles kenyans
C'est essentiellement un pont intelligent entre votre assistant IA et la base de données agricole de Fataplus ! 🌱🤖

Si vous voulez en savoir plus sur comment on l'as construit vous pouvez consulter le wiki de ce repo sur : 

https://deepwiki.com/Fataplus/Fataplus-Agritech-Platform

Pour nous contacter si vous avez d'autres besoins c'est sur notre WhatsApp 

https://wa.me/+261342047213"	https://static.xx.fbcdn.net/rsrc.php/v4/yk/r/3mP4gIjvEEU.png	Publiée •	17 sept. 2025	147	56	18	0	66	0	
https://www.facebook.com/content/insights/?content_id=UzpfSTYxNTUxNjc4MzA1ODMxOjEyMjIwMDU0NDY5MDA1NTk0MzoxMjIyMDA1NDQ2OTAwNTU5NDM%3D&entry_point=ProdashCometContentLibraryTable	"Sur le 🌾 Retour à la FIA 2025 d' eTech, 

🌍 Chez Fataplus, nous visons également à « transformer localement, innover localement », une vision que nous promouvons grâce à la présence de notre équipe à cet événement. Nos solutions MVP no-code et basés sur les design thinking et l'IA, alignés sur la stratégie MINAE 2024-2028.

https://www.minae.gov.mg/strategie-de-transformation-digitale-de-lagriculture-a-madagascar-2024-2028/

Augmentent les rendements de 30 % pour 80 % des communautés rurales.
Nous y croyons aussi.

Ensemble, cultivons l’avenir de l’agriculture avec la puissance de la technologie ! 🌱
Contactez-nous : +261 34 20 472 13. 
#agritechmadagascar #fataplus"	https://static.xx.fbcdn.net/rsrc.php/v4/yk/r/3mP4gIjvEEU.png	Publiée •	16 sept. 2025	186	79	44	0	96	0	
https://www.facebook.com/content/insights/?content_id=UzpfSTYxNTUxNjc4MzA1ODMxOjEyMjIwMDE5MTQ1ODA1NTk0MzoxMjIyMDAxOTE0NTgwNTU5NDM%3D&entry_point=ProdashCometContentLibraryTable	"🌱 Introducing Fataplus MCP - AI-Powered Agricultural Intelligence for African Farmers! 🤖

We're excited to announce the launch of Fataplus MCP, an open-source Model Context Protocol server that bridges the gap between AI technology and African agriculture. 

✨ What makes it unique:
• Specialized focus on agricultural contexts in Africa
• Support for local languages 
• Offline-first operations for areas with limited connectivity
• Integration with mobile money systems 

Our mission is to make advanced AI accessible to small-scale farmers who need it most. Fataplus MCP enables AI assistants to access critical agricultural data and tools including weather forecasts, livestock management, market intelligence, and farm analytics.

🌐 Open Source & Free to Use
GitHub: https://github.com/Fataplus/Fataplus-Agritech-Platform

Built with ❤️ by the Fataplus Team.

#AgriculturalTechnology #AI #OpenSource #AfricanTech #Farming #DigitalAgriculture #FoodSecurity #Startup #Innovation #AgriTech"	https://static.xx.fbcdn.net/rsrc.php/v4/yk/r/3mP4gIjvEEU.png	Publiée •	12 sept. 2025	1 788	750	206	5	1 034	10	https://scontent.ftnr2-2.fna.fbcdn.net/v/t39.30808-6/547414685_122200191404055943_243867616786463180_n.jpg?stp=dst-jpg_p228x119_tt6&_nc_cat=102&ccb=1-7&_nc_sid=127cfc&_nc_ohc=-rY5qSfAJCsQ7kNvwGOM-V4&_nc_oc=Adl-dCAniQPsHwLHmctBFCB2L-v1QB3Er9113H3fgpcG7gs0VgAGTYtZldZ-kALrPfs&_nc_zt=23&_nc_ht=scontent.ftnr2-2.fna&_nc_gid=2gmT-ikAF3QBuALIcV_OnA&oh=00_AfoCfz6UatrBRaiRMLK0QIhLpVVRr9Mf0dzf2m3EmX2d5Q&oe=696C252F
https://www.facebook.com/content/insights/?content_id=UzpfSTYxNTUxNjc4MzA1ODMxOjEyMjE5NTI0MTAwMjA1NTk0MzoxMjIxOTUyNDEwMDIwNTU5NDM%3D&entry_point=ProdashCometContentLibraryTable	"Remerciements – JMCJ 2025 | Journée Mondiale des Compétences des Jeunes

À l’occasion de la WYSD 2025, sous le thème « L’autonomisation des jeunes grâce à l’IA et aux compétences numériques », FATAPLUS tient à remercier chaleureusement EAM – Entreprendre à Madagascar, ainsi que tous les partenaires et institutions engagés.

Nous avons été ravis de représenter FATAPLUS et de partager nos connaissances sur l’intelligence artificielle avec les jeunes MALAGASY, à travers des échanges riches et inspirants :

✅ Le 15 juillet à Antananarivo : ESTI Antanimena et Ambatolampy Tsimahafotsy
✅ Le 18–19 juillet à Fandriana : CIAT, Commune de Fandriana

Merci pour votre confiance et pour cette belle initiative en faveur de la jeunesse et du numérique à Madagascar.

— L’équipe FATAPLUS"	https://static.xx.fbcdn.net/rsrc.php/v4/yk/r/3mP4gIjvEEU.png	Publiée •	21 juil. 2025	283	--	56	0	169	0	https://scontent.ftnr2-2.fna.fbcdn.net/v/t39.30808-6/518370754_122195238404055943_3266020954621771323_n.jpg?stp=dst-jpg_s180x540_tt6&_nc_cat=106&ccb=1-7&_nc_sid=127cfc&_nc_ohc=CM9TjUFZ5HUQ7kNvwHFNQbL&_nc_oc=AdlZBf81s8xUIeTWPfIJtyo-qHnEPnfMn4KL3vMLK6SFDE9bXh5qX7VBevWrHBhlxVo&_nc_zt=23&_nc_ht=scontent.ftnr2-2.fna&_nc_gid=2gmT-ikAF3QBuALIcV_OnA&oh=00_AfoVDuzdyN1ahbe1K9UPtNZOIa3rDD8COsXl15RBAGN4AA&oe=696C3157
https://www.facebook.com/content/insights/?content_id=UzpfSTYxNTUxNjc4MzA1ODMxOjEyMjE5NDU0NzM3ODA1NTk0MzoxMjIxOTQ1NDczNzgwNTU5NDM%3D&entry_point=ProdashCometContentLibraryTable	"🎉 FATAPLUS à la JMCJ 2025 — Pour un avenir jeune, compétent et innovant avec l’IA ! 🤖🚀

À l’occasion de la Journée Mondiale des Compétences des Jeunes 2025, FATAPLUS est honoré de participer à cet événement d'envergure, placé sous le thème de l’intelligence artificielle et des compétences numériques pour la jeunesse.

📍 Lieu : École Supérieure des Technologies de l’Information
🗓️ Date : Mardi 15 juillet 2025
🕐 Heure : 13h00 - 15h00
📌 Espace IA Transformative (Grande Salle)

🔹 Notre contribution :
FATAPLUS animera une session interactive de formation, démonstration et simulation dédiée à l'utilisation des outils d’intelligence artificielle appliqués à l’entrepreneuriat et à l’emploi des jeunes.

✅ Objectif :
Équiper les jeunes entrepreneurs, étudiants et chercheurs d’emploi avec des outils concrets d’IA pour :
Accroître leur productivité professionnelle
Renforcer leur présence digitale
Simplifier les processus de création (emailing, design, rédaction, automatisation, etc.)
Saisir les opportunités de l’économie numérique

🎯 Pourquoi participer ?
Parce que l’IA ne remplace pas les talents, elle amplifie les compétences. Chez FATAPLUS, nous croyons fermement que la jeunesse malgache peut devenir un moteur d’innovation, grâce à une bonne orientation et aux bons outils.

🔔 Rejoignez-nous pour découvrir comment transformer l’IA en un allié puissant de votre avenir professionnel !

📞 Contact :
+261 34 20 472 13
+261 34 52 920 32
✉️ contact@fata.plus
🌐 https://fata.plus

📣 Suivez notre actualité sur nos réseaux sociaux pour ne rien manquer de cette édition exceptionnelle.
#FATAPLUS #JMCJ2025 #JeunesseNumérique #IApourTous #CompétencesDeDemain"		Crossposté •	14 juil. 2025	217	--	28	0	141	0	https://scontent.ftnr2-2.fna.fbcdn.net/v/t39.30808-6/518340360_122194546910055943_5139367013316338907_n.jpg?stp=dst-jpg_p228x119_tt6&_nc_cat=102&ccb=1-7&_nc_sid=127cfc&_nc_ohc=Bjzow15NaFIQ7kNvwHjB2gW&_nc_oc=AdkUqwZKuSJUjteFsRC-tDn0menVtyftzmGgNWNZQBhew2C_ARS8w0PbcoN5TlwV9n0&_nc_zt=23&_nc_ht=scontent.ftnr2-2.fna&_nc_gid=2gmT-ikAF3QBuALIcV_OnA&oh=00_AfroFvdm2qClIgtUXvKBUHUZ83uw3od2W56eESikC-uLTA&oe=696C32EC
https://www.facebook.com/content/insights/?content_id=UzpfSTYxNTUxNjc4MzA1ODMxOjEyMjE5NDUxNjM2NDA1NTk0MzoxMjIxOTQ1MTYzNjQwNTU5NDM%3D&entry_point=ProdashCometContentLibraryTable	"🎉 MERCI À TOUS ! 🎉
L’équipe FATAPLUS tient à remercier de tout cœur tous ceux qui sont venus visiter notre Stand B lors de la Foire aux Fromages 2025 au Jardin Antaninarenina.

🙏 Un remerciement spécial à M’anja Events, organisateur de l’événement, pour sa rigueur et son engagement à valoriser les acteurs économiques et agricoles de Madagascar.

🙏 Nous adressons également notre profonde reconnaissance au Ministère de l’Agriculture pour son soutien à l’innovation rurale et à la transformation numérique du secteur agricole.

💬 Ces trois jours riches en échanges nous encouragent à aller encore plus loin dans notre mission :
➡️ Connecter. Cultiver. Prospérer.
FATAPLUS s’engage à mettre l’intelligence artificielle et les outils numériques au service des producteurs, transformateurs et entrepreneurs malagasy, partout, même en zone rurale éloignée.

📲 Continuez à nous suivre sur #fata.plus ou 
       contactez-nous: contact@fata.plus
À très bientôt pour bâtir ensemble un avenir agricole moderne et connecté !

#FATAPLUS #Merci #FoireFromage2025 #ManjaEvents #MinAgricultureMG #StandB #DigitalRural #AgriTech #WebDesign #TransformationDigitale #MadagascarConnecte"	https://static.xx.fbcdn.net/rsrc.php/v4/yk/r/3mP4gIjvEEU.png	Publiée •	14 juil. 2025	296	--	69	0	174	0	https://scontent.ftnr2-2.fna.fbcdn.net/v/t39.30808-6/518275510_122194515566055943_3558184376233544006_n.jpg?stp=dst-jpg_s160x160_tt6&_nc_cat=103&ccb=1-7&_nc_sid=127cfc&_nc_ohc=pC0jDy0TaSMQ7kNvwHfKKHE&_nc_oc=AdluK5MRe-5znx3-8Vpc73NamvFmnA2zfWRLHRAsBx6CN0PPZzf1N3E2LUDhhmwTh44&_nc_zt=23&_nc_ht=scontent.ftnr2-2.fna&_nc_gid=2gmT-ikAF3QBuALIcV_OnA&oh=00_AfpJBG1NYVuXmo3IViyAQwiHfFLGSj1PKxzWWdnYhnYoHg&oe=696C594E
