Date de l'opØration,Date de valeur,DØtails de la transaction,DØbit,CrØdit,Solde (-)Indique un dØbit
,,Solde PrØcØdent,,,"4 059,74"
09/05/2025,09/05/2025,Transfer Wallet to Bank Mvola Wallet to Bank FT2512937SWG\BNK,,"300 000,00","304 059,74"
09/05/2025,09/05/2025,Transfer Wallet to Bank Mvola Wallet to Bank FT25129WWXKR\BNK,,"890 000,00","1 194 059,74"
09/05/2025,09/05/2025,DB vente carte etrangere 816420 FT25129CS2Y3\BNK FIGMA,"876 957,25",,"317 102,49"
09/05/2025,08/05/2025,Frais de virement FT25129H71Z2\BNK,"5 000,00",,"312 102,49"
09/05/2025,08/05/2025,TVA FT25129H71Z2\BNK,"1 000,00",,"311 102,49"
09/05/2025,08/05/2025,Prelevement automatic -DR DD INTERMEDIATARY FT25129H71Z2\BNK TELMA S.A,"249 000,00",,"62 102,49"
09/05/2025,09/05/2025,F2505985452 DB vente carte confrere 543830 FT25129PYXYZ\BNK S2M,"6 890,00",,"55 212,49"
16/05/2025,16/05/2025,Virement recus Banque Confrere RIAKE FT251366PYY7\BNK 1er Jalon Tanaavo,,"1 200 000,00","1 255 212,49"
16/05/2025,16/05/2025,Retrait sur GAB confrere 640680 FT25136LRSB8\BNK SGMADA Mahazo,"800 000,00",,"455 212,49"
16/05/2025,16/05/2025,Retrait sur GAB confrere 641310 FT25136LNMWW\BNK SGMADA Mahazo,"200 000,00",,"255 212,49"
16/05/2025,16/05/2025,Retrait sur GAB confrere 642320 FT25136FR2R4\BNK SGMADA Mahazo,"60 000,00",,"195 212,49"
19/05/2025,19/05/2025,DB vente carte etrangere 027050 FT251396Y101\BNK GOOGLE GOOGLE ONE,"104 451,08",,"90 761,41"
19/05/2025,19/05/2025,Transfer Wallet to Bank Mvola Wallet to Bank,,"200 000,00","290 761,41"
19/05/2025,19/05/2025,FT25139M8W19\BNK Retrait sur GAB confrere 493340 FT25139CXLN6\BNK BNI BNI MAHAMASINA,"200 000,00",,"90 761,41"
21/05/2025,21/05/2025,DB vente carte etrangere 829130 FT2514175CG0\BNK STEVENS WHOP TEMP,"4 651,58",,"86 109,83"
21/05/2025,21/05/2025,DB vente carte etrangere REV FT25141W1ZMK\BNK 831100 STEVENS WHOP TEMP,,"4 651,58","90 761,41"
22/05/2025,22/05/2025,Transfer Wallet to Bank Mvola Wallet to Bank FT2514292WNN\BNK,,"10 000,00","100 761,41"
23/05/2025,23/05/2025,DB vente carte etrangere 753490 FT2514312XBK\BNK OPENAI CHATGPT SUBSCR,"93 020,32",,"7 741,09"
23/05/2025,23/05/2025,Transfer Wallet to Bank Mvola Wallet to Bank,,"100 000,00","107 741,09"
23/05/2025,23/05/2025,DB vente carte etrangere 232780 FT25143PM9S0\BNK WWW CONTABO COM,"92 328,04",,"15 413,05"
30/05/2025,01/06/2025,TVA 1079646.FRAIS.TENUE.COMPTE.MGA10 000.20250531,"2 000,00",,"13 413,05"
30/05/2025,01/06/2025,Frais Tenue de compte 1079646.FRAIS.TENUE.COMPTE.MGA10 000.20250531,"10 000,00",,"3 413,05"
,,Solde Encours,,,"3 413,05"
