Date de l'opØration,Date de valeur,DØtails de la transaction,DØbit,CrØdit,Solde (-)Indique un dØbit
,,Solde PrØcØdent,,,"136 294,00"
03/11/2025,03/11/2025,Retrait sur GAB confrere 313580 FT25307ZJJHX\BNK SGMADA Agence,"100 000,00",,"36 294,00"
03/11/2025,03/11/2025,MAHAZO Transfer Wallet to Bank Mvola Wallet to Bank FT253072BRD0\BNK,,"800 000,00","836 294,00"
03/11/2025,03/11/2025,Retrait sur GAB confrere 363390 FT253078Q4P5\BNK BNI BNI AMPASAMPITO,"800 000,00",,"36 294,00"
03/11/2025,03/11/2025,Transfer Wallet to Bank Mvola Wallet to Bank FT25307RD3HJ\BNK,,"1 000 000,00","1 036 294,00"
03/11/2025,03/11/2025,Retrait sur GAB confrere 595480 FT25307NS1J0\BNK BNI CMT AMBOHIMANGAKELY,"800 000,00",,"236 294,00"
03/11/2025,03/11/2025,Retrait sur GAB confrere 596120 FT25307HP9TR\BNK BNI CMT AMBOHIMANGAKELY,"200 000,00",,"36 294,00"
06/11/2025,06/11/2025,Transfer Wallet to Bank Mvola Wallet to Bank FT253108VQG0\BNK,,"180 000,00","216 294,00"
07/11/2025,07/11/2025,Virement recus Banque Confrere RIAKE FT25311VPWYD\BNK Acompte Nostra,,"500 000,00","716 294,00"
10/11/2025,04/11/2025,Frais de virement FT253090N2NF\BNK,"5 000,00",,"711 294,00"
10/11/2025,04/11/2025,TVA,"1 000,00",,"710 294,00"
10/11/2025,04/11/2025,FT253090N2NF\BNK Prelevement automatic -DR DD INTERMEDIATARY FT253090N2NF\BNK TELMA S.A F2511925902,"249 000,00",,"461 294,00"
10/11/2025,10/11/2025,Virement recus Banque Confrere RIAKE FT25314YBYX7\BNK Reste Pmt,,"200 000,00","661 294,00"
11/11/2025,10/11/2025,Maintenance Fenohery Meri JUICE Virement autre banque locale FANOMEZANIRINA FENOHERY,"60 000,00",,"601 294,00"
13/11/2025,13/11/2025,FT25315PF2M4\BNK Support compte pro DB vente carte etrangere 589070 FT25317RW2KJ\BNK PAYPAL TRAE,"14 128,00",,"587 166,00"
17/11/2025,17/11/2025,Frais de virement FT25321SDLD5\BNK,"1 000,00",,"586 166,00"
17/11/2025,17/11/2025,TVA FT25321SDLD5\BNK,"200,00",,"585 966,00"
17/11/2025,17/11/2025,Transfer Bank to Wallet MVOLA WALLET FT25321SDLD5\BNK Mvola Bank to Wallet,"200 000,00",,"385 966,00"
18/11/2025,18/11/2025,Frais de virement FT253227W4T2\BNK,"1 000,00",,"384 966,00"
18/11/2025,18/11/2025,TVA FT253227W4T2\BNK,"200,00",,"384 766,00"
18/11/2025,18/11/2025,Transfer Bank to Wallet MVOLA WALLET FT253227W4T2\BNK Mvola Bank to Wallet,"200 000,00",,"184 766,00"
19/11/2025,19/11/2025,DB vente carte etrangere 695710 FT25323WB6LF\BNK PADDLE.NET SETAPP,"45 949,49",,"138 816,51"
21/11/2025,21/11/2025,DB vente carte etrangere 292750 FT25325SX6BV\BNK WWW CONTABO COM,"91 196,02",,"47 620,49"
28/11/2025,01/12/2025,TVA 1079646.FRAIS.TENUE.COMPTE.MGA10 000.20251130,"2 000,00",,"45 620,49"
28/11/2025,01/12/2025,Frais Tenue de compte 1079646.FRAIS.TENUE.COMPTE.MGA10 000.20251130,"10 000,00",,"35 620,49"
,,Solde Encours,,,"35 620,49"
