Date,Value Date,Description,Category,Debit,Credit,Balance,SourceFile
02/01/2025,02/01/2025,DB vente carte etrangere  277770 FT250025XM76\BNK  CONTABO-COM,Card Payment,60388.74,,337038.03,MCB Internet Banking Document (1).pdf
07/01/2025,07/01/2025,DB vente carte etrangere  693930 FT250070W0JR\BNK  SQSP INV164379181,Card Payment,72594.28,,264443.75,MCB Internet Banking Document (1).pdf
10/01/2025,09/01/2025,Frais de virement FT250108QPZ1\BNK,Fees,5000.0,,259443.75,MCB Internet Banking Document (1).pdf
10/01/2025,09/01/2025,TVA FT250108QPZ1\BNK,Tax,1000.0,,258443.75,MCB Internet Banking Document (1).pdf
10/01/2025,09/01/2025,Prelevement automatic -DR DD INTERMEDIATARY FT250108QPZ1\BNK   TELMA S.A F2501459538,Other Expense,249000.0,,9443.75,MCB Internet Banking Document (1).pdf
20/01/2025,20/01/2025,Transfer Wallet to Bank Mvola Wallet to Bank FT25020HRSJW\BNK,Mvola,,185000.0,194443.75,MCB Internet Banking Document (1).pdf
20/01/2025,20/01/2025,Transfer Wallet to Bank Mvola Wallet to Bank FT25020LS9NK\BNK,Mvola,,5000.0,199443.75,MCB Internet Banking Document (1).pdf
21/01/2025,21/01/2025,DB vente carte etrangere  278910 FT25021499ZH\BNK  WWW CONTABO COM,Card Payment,67493.38,,131950.37,MCB Internet Banking Document (1).pdf
21/01/2025,21/01/2025,Transfer Wallet to Bank Mvola Wallet to Bank FT25021NYDKK\BNK,Mvola,,100000.0,231950.37,MCB Internet Banking Document (1).pdf
22/01/2025,22/01/2025,DB vente carte etrangere  273970 FT25022VBPCX\BNK  CONTABO/COM,Card Payment,185728.14,,46222.23,MCB Internet Banking Document (1).pdf
31/01/2025,31/01/2025,Transfert compte a compte RefundWWW- CONTABO-COM FT25031VC781\B99  RefundWWW- CONTAB  RefundWWW-CONTAB,Refund,,174454.72,220676.95,MCB Internet Banking Document (1).pdf
31/01/2025,31/01/2025,Transfer Bank to Wallet  MVOLA WALLET FT25031Q52WY\BNK   Mvola Bank to Wallet,Mvola Out,50000.0,,170676.95,MCB Internet Banking Document (1).pdf
31/01/2025,01/02/2025,TVA 1079646.FRAIS.TENUE.COMPTE.MGA10 000.20250131,Fees,2000.0,,168676.95,MCB Internet Banking Document (1).pdf
31/01/2025,01/02/2025,Frais Tenue de compte 1079646.FRAIS.TENUE.COMPTE.MGA10 000.20250131,Fees,10000.0,,158676.95,MCB Internet Banking Document (1).pdf
02/12/2024,02/12/2024,Transfer Bank to Wallet  MVOLA WALLET FT24337LN5Y3\BNK   Mvola Bank to Wallet,Mvola Out,50000.0,,137204.18,00001079646~C~BNK_00001079646.pdf
02/12/2024,02/12/2024,DB vente carte etrangere  278990 FT24337V1X2C\BNK  CONTABO/COM,Card Payment,60174.79,,77029.39,00001079646~C~BNK_00001079646.pdf
02/12/2024,02/12/2024,Retrait sur GAB confrere  291640 FT2433750GWD\BNK  SGMADA Mahazo,Withdrawal,50000.0,,27029.39,00001079646~C~BNK_00001079646.pdf
06/12/2024,06/12/2024,Virement recus Banque Confrere  RIAKE FT24341Q3152\BNK   Reste Paiement Mrway,Riake,,300000.0,327029.39,00001079646~C~BNK_00001079646.pdf
09/12/2024,09/12/2024,Transfer Bank to Wallet  MVOLA WALLET FT24344G4W3V\BNK   Mvola Bank to Wallet,Mvola Out,5000.0,,322029.39,00001079646~C~BNK_00001079646.pdf
09/12/2024,09/12/2024,Retrait sur GAB confrere  438400 FT243449XYN9\BNK  SGMADA Agence MAHAZO-An,Withdrawal,50000.0,,272029.39,00001079646~C~BNK_00001079646.pdf
10/12/2024,09/12/2024,Frais de virement FT24345T4WPL\BNK,Fees,5000.0,,267029.39,00001079646~C~BNK_00001079646.pdf
10/12/2024,09/12/2024,TVA FT24345T4WPL\BNK,Tax,1000.0,,266029.39,00001079646~C~BNK_00001079646.pdf
