Name,Category,Legal_Status,Year_Founded,Domain_Activity,Value_Chain_Segment,Geographic_Scope,Website,Email,Phone,Address,Leadership,Partnerships,Key_Metrics,Primary_Source,Publication_Date
Ministry of Agriculture and Livestock (MINAE),Government Institution,Government Ministry,1960,Agricultural Policy & Development,Policy & Regulation,National,https://www.minae.gov.mg,,,Antananarivo,HAJARISON François Sergio,"UNFSS+4, SADC, FAO",Diaben'ny famokarana program,https://www.minae.gov.mg,2025-08-05
FOFIFA - Centre National de Recherche appliquée au Développement Rural,Research Institution,Public Research Center,1974,Agricultural Research,Research & Development,National,,,,"Antananarivo",,"CIRAD, ARCAD Project",Plant production, rice, animal production,https://www.arcad-project.org/partners/fofifa-centre-national-de-recherche-appliquee-au-developpement-rural/,2025-08-05
CIRAD Madagascar,Research Institution,International Research Organization,1984,Agricultural Research,Research & Development,National,https://www.cirad.fr/en/worldwide/our-regional-offices/southern-africa-and-madagascar/,,,"Antananarivo, Antsirabe, Taomasina",,"FOFIFA, Universities",Agroecology, biodiversity management,https://www.cirad.fr/en/worldwide/our-regional-offices/southern-africa-and-madagascar/,2025-08-05
University of Antananarivo - School of Agronomy (ESSA),Academic Institution,Public University,1963,Agricultural Education,Education & Training,National,https://www.univ-antananarivo.mg/Ecole-Superieure-des-Sciences-Agronomiques,,,"Antananarivo",RASOARAHONA Jean R.E,"CIRAD, FOFIFA",6 specializations, 1100+ students,https://www.univ-antananarivo.mg/Ecole-Superieure-des-Sciences-Agronomiques,2025-08-05
FAO Madagascar,International Organization,UN Agency,1945,Food Security & Agricultural Development,Policy & Development,National,https://www.fao.org/madagascar,,,"Antananarivo",,"MINAE, WFP",Food security projects,https://www.fao.org/madagascar,2025-08-05
World Food Programme (WFP) Madagascar,International Organization,UN Agency,1961,Food Security & Emergency Response,Food Security,National,https://www.wfp.org/operations,,,"Antananarivo",,"MINAE, Government",Country Strategic Plan 2024-2028,https://www.wfp.org/operations,2025-08-05
Catholic Relief Services (CRS) Madagascar,NGO,International NGO,1962,Rural Development & Emergency Response,Rural Development,National,https://www.crs.org,,,"Antananarivo",,"Local partners",Development programs since 1962,https://www.crs.org,2025-08-05
Aga Khan Development Network Madagascar,NGO,International NGO,2007,Food Security & Market Access,Rural Development,National,https://the.akdn/en/where-we-work/eastern-africa/madagascar,,,"Antananarivo",,"Local communities",Food security, market connectivity,https://the.akdn/en/where-we-work/eastern-africa/madagascar,2025-08-05
Agence Française de Développement (AFD) Madagascar,Development Bank,French Development Agency,1941,Agricultural Development Financing,Finance & Investment,National,https://www.afd.fr,,,"Antananarivo",,"MINAE, Government",Agricultural development projects,https://www.afd.fr,2025-08-05
Réseau SOA (Syndicat des organisations agricoles),Farmer Association,National Union,1990,Farmers' Rights & Advocacy,Advocacy & Representation,National,,,,"Antananarivo",,"25 regional organizations",13 regions coverage,https://www.fo-mapp.com/farm/reseau-soa-syndicat-organisations-agricoles,2025-08-05
Association Agro-Industrie de Madagascar (AAIM),Professional Federation,Industry Association,2010,Agro-Industry Development,Industry Representation,National,https://assoaim.mg,,,"Antananarivo",,"Private sector",Agro-industry promotion,https://assoaim.mg,2025-08-05
Compagnie Madecasse,Private Agribusiness,Private Company,2006,Vanilla & Spice Processing,Processing & Export,National,https://www.madayp.com/company/108/Compagnie_Madecasse,,+261 20 22 224 08,"Route Des Hydrocarbures Ankorondrano",,"Local farmers",Vanilla processing,https://www.madayp.com/company/108/Compagnie_Madecasse,2025-08-05
SOMECA,Private Agribusiness,Private Company,1955,Agricultural Equipment & Services,Equipment & Services,National,https://www.madayp.com/company/147/Someca,,+261 20 22 254 00,"Lalana Ravoninahitriniarivo Ankorondrano",,"Farmers",Agricultural equipment since 1955,https://www.madayp.com/company/147/Someca,2025-08-05
AGRIVET,Private Agribusiness,Private Company,1990,Agricultural Inputs & Veterinary Services,Inputs & Services,National,https://www.madayp.com/company/51/Agrivet,,+261 20 22 583 73,"Lot 01 A Ambohibao",,"Farmers",Agricultural inputs,https://www.madayp.com/company/51/Agrivet,2025-08-05
LECOFRUIT,Private Agribusiness,Private Company,1985,Fruit Processing & Export,Processing & Export,National,https://www.madayp.com/company/3926/Lecofruit,,+261 202 22 23 73,"BP 207, Antananarivo",,"Local farmers",Fruit processing,https://www.madayp.com/company/3926/Lecofruit,2025-08-05
